"","code_minor","green_share","count_total","count_green","count_stem","name_minor"
"82","611",0.323140842622773,261,53,4,"Market Gardeners and Crop Growers"
"83","612",0.0874381153918874,118,7,1,"Animal Producers"
"84","613",0.352240896358543,48,19,1,"Mixed Crop and Animal Producers"
"85","621",0.578947368421053,38,22,1,"Forestry and Related Workers"
"86","622",0.0812414707949873,377,38,16,"Fishery Workers, Hunters and Trappers"
"87","711",0.0635586232449465,343,18,5,"Building Frame and Related Trades Workers"
"88","712",0.0922921077950731,439,56,12,"Building Finishers and Related Trades Workers"
"89","713",0.170666648312203,248,33,6,"Painters, Building Structure Cleaners and Related Trades Workers"
"90","721",0.0115530143918275,499,8,38,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers"
"91","722",0.00552356901461761,484,4,71,"Blacksmiths, Toolmakers and Related Trades Workers"
"92","723",0.0259613443624286,517,16,24,"Machinery Mechanics and Repairers"
"93","731",0.0212532843657358,746,13,22,"Handicraft Workers"
"94","732",0.00078064012490242,248,1,48,"Printing Trades Workers"
"95","741",0.0741348441171676,396,36,41,"Electrical Equipment Installers and Repairers"
"96","742",0.0205033145484436,349,7,162,"Electronics and Telecommunications Installers and Repairers"
"97","751",0.0403184716273743,410,10,4,"Food Processing and Related Trades Workers"
"98","752",0.0395747247316044,238,7,9,"Wood Treaters, Cabinet-makers and Related Trades Workers"
"99","753",0.0376683500405244,376,7,33,"Garment and Related Trades Workers"
"100","754",0.0405370205647449,583,29,34,"Other Craft and Related Workers"
"101","811",0.0238235909453711,317,9,3,"Mining and Mineral Processing Plant Operators"
"102","812",0.0119624569590324,265,4,10,"Metal Processing and Finishing Plant Operators"
"103","813",0.0691959011116606,363,13,11,"Chemical and Photographic Products Plant and Machine Operators"
"104","814",0.020544787818561,419,9,12,"Rubber, Plastic and Paper Products Machine Operators"
"105","815",0.0288181059458711,363,7,16,"Textile, Fur and Leather Products Machine Operators"
"106","816",0.041142219000287,482,13,3,"Food and Related Products Machine Operators"
"107","817",0.0721828260452234,201,11,6,"Wood Processing and Papermaking Plant Operators"
"108","818",0.055918913516678,330,13,8,"Other Stationary Plant and Machine Operators"
"109","821",0.0244467538174711,598,18,53,"Assemblers"
"110","831",0,117,0,4,"Locomotive Engine Drivers and Related Workers"
"111","832",0,131,0,9,"Car, Van and Motorcycle Drivers"
"112","833",0.0640076830009827,213,16,5,"Heavy Truck and Bus Drivers"
"113","834",0.0545670358132578,300,20,13,"Mobile Plant Operators"
"114","835",0.029710463803901,174,6,8,"Ships' Deck Crews and Related Workers"
"115","911",0.0504004360364836,136,9,0,"Domestic, Hotel and Office Cleaners and Helpers"
"116","912",0.0573015049940121,154,7,1,"Vehicle, Window, Laundry and Other Hand Cleaning Workers"
"117","921",0.141061993916512,328,45,7,"Agricultural, Forestry and Fishery Labourers"
"118","931",0.0593287605969577,207,11,1,"Mining and Construction Labourers"
"119","932",0.033102766798419,76,3,2,"Manufacturing Labourers"
"120","933",0.023862050248139,273,10,15,"Transport and Storage Labourers"
"121","941",0.0692837941628264,57,3,0,"Food Preparation Assistants"
"122","951",0,12,0,1,"Street and Related Service Workers"
"123","952",0,57,0,2,"Street Vendors (excluding Food)"
"124","961",0.463461538461538,67,27,0,"Refuse Workers"
"125","962",0.0265932738758826,216,8,4,"Other Elementary Workers"
